#Name RA DEC radius(arcmin)
HydraA  09 18 05.651 -12 05 43.99 10
PictorA 05 19 49.7229 -45 46 43.853 10
HerculesA 16 51 08.2 +04 59 33 10
VirgoA 12 30 49.42338 +12 23 28.0439 10
Crab 05 34 31.94 +22 00 52.2 10
CygnusA 19 59 28.357 +40 44 02.10 10
CassiopeiaA 23 23 24 +58 48 54 10
CentaurusA 13 25 27 -43 01 09 540
LMC 05 23 34.6 -69 45 22 330
SMC 00 52 38.0 -72 48 01 150
