# kaplan@pulsar:~/mwa/MandC$ psql -h mwa.mit.edu -U mwa 
# mwa=> select * from grid_points;
# retrieved 2012-05-02 by D Kaplan
#name  | number | azimuth  | elevation |   sigma    |                     delays                     
#------+--------+----------+-----------+------------+------------------------------------------------
 sweet |     47 |      180 |    61.691 | 4.8769e-08 | {0,0,0,0,4,4,4,4,8,8,8,8,12,12,12,12}
 sweet |     48 |      270 |    61.691 | 4.8769e-08 | {12,8,4,0,12,8,4,0,12,8,4,0,12,8,4,0}
 sweet |     49 |  14.0362 |   60.7369 |  5.027e-08 | {12,13,14,15,8,9,10,11,4,5,6,7,0,1,2,3}
 sweet |     50 |  75.9638 |   60.7369 |  5.027e-08 | {3,7,11,15,2,6,10,14,1,5,9,13,0,4,8,12}
 sweet |     51 | 104.0362 |   60.7369 |  5.027e-08 | {0,4,8,12,1,5,9,13,2,6,10,14,3,7,11,15}
 sweet |     52 | 165.9638 |   60.7369 |  5.027e-08 | {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
 sweet |     53 | 194.0362 |   60.7369 |  5.027e-08 | {3,2,1,0,7,6,5,4,11,10,9,8,15,14,13,12}
sweet |     54 | 255.9638 |   60.7369 |  5.027e-08 | {12,8,4,0,13,9,5,1,14,10,6,2,15,11,7,3}
 sweet |     55 | 284.0362 |   60.7369 |  5.027e-08 | {15,11,7,3,14,10,6,2,13,9,5,1,12,8,4,0}
 sweet |     56 | 345.9638 |   60.7369 |  5.027e-08 | {15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0}
 sweet |     57 |       45 |   59.8018 | 5.1728e-08 | {9,12,15,18,6,9,12,15,3,6,9,12,0,3,6,9}
 sweet |     58 |      135 |   59.8018 | 5.1728e-08 | {0,3,6,9,3,6,9,12,6,9,12,15,9,12,15,18}
 sweet |     59 |      225 |   59.8018 | 5.1728e-08 | {9,6,3,0,12,9,6,3,15,12,9,6,18,15,12,9}
 sweet |     60 |      315 |   59.8018 | 5.1728e-08 | {18,15,12,9,15,12,9,6,12,9,6,3,9,6,3,0}
 sweet |     61 |  26.5651 |    57.981 | 5.4526e-08 | {12,14,16,18,8,10,12,14,4,6,8,10,0,2,4,6}
 sweet |     62 |  63.4349 |    57.981 | 5.4526e-08 | {6,10,14,18,4,8,12,16,2,6,10,14,0,4,8,12}
 sweet |     63 | 116.5651 |    57.981 | 5.4526e-08 | {0,4,8,12,2,6,10,14,4,8,12,16,6,10,14,18}
 sweet |     64 | 153.4349 |    57.981 | 5.4526e-08 | {0,2,4,6,4,6,8,10,8,10,12,14,12,14,16,18}
 sweet |     65 | 206.5651 |    57.981 | 5.4526e-08 | {6,4,2,0,10,8,6,4,14,12,10,8,18,16,14,12}
 sweet |     66 | 243.4349 |    57.981 | 5.4526e-08 | {12,8,4,0,14,10,6,2,16,12,8,4,18,14,10,6}
 sweet |     67 | 296.5651 |    57.981 | 5.4526e-08 | {18,14,10,6,16,12,8,4,14,10,6,2,12,8,4,0}
 sweet |     68 | 333.4349 |    57.981 | 5.4526e-08 | {18,16,14,12,14,12,10,8,10,8,6,4,6,4,2,0}
 sweet |     69 |        0 |   53.6453 | 6.0962e-08 | {15,15,15,15,10,10,10,10,5,5,5,5,0,0,0,0}
 sweet |     70 |  36.8699 |   53.6453 | 6.0962e-08 | {12,15,18,21,8,11,14,17,4,7,10,13,0,3,6,9}
 sweet |     71 |  53.1301 |   53.6453 | 6.0962e-08 | {9,13,17,21,6,10,14,18,3,7,11,15,0,4,8,12}
 sweet |     72 |       90 |   53.6453 | 6.0962e-08 | {0,5,10,15,0,5,10,15,0,5,10,15,0,5,10,15}
 sweet |     73 | 126.8699 |   53.6453 | 6.0962e-08 | {0,4,8,12,3,7,11,15,6,10,14,18,9,13,17,21}
 sweet |     74 | 143.1301 |   53.6453 | 6.0962e-08 | {0,3,6,9,4,7,10,13,8,11,14,17,12,15,18,21}
 sweet |     75 |      180 |   53.6453 | 6.0962e-08 | {0,0,0,0,5,5,5,5,10,10,10,10,15,15,15,15}
 sweet |     76 | 216.8699 |   53.6453 | 6.0962e-08 | {9,6,3,0,13,10,7,4,17,14,11,8,21,18,15,12}
 sweet |     77 | 233.1301 |   53.6453 | 6.0962e-08 | {12,8,4,0,15,11,7,3,18,14,10,6,21,17,13,9}
 sweet |     78 |      270 |   53.6453 | 6.0962e-08 | {15,10,5,0,15,10,5,0,15,10,5,0,15,10,5,0}
 sweet |     79 | 306.8699 |   53.6453 | 6.0962e-08 | {21,17,13,9,18,14,10,6,15,11,7,3,12,8,4,0}
 sweet |     80 | 323.1301 |   53.6453 | 6.0962e-08 | {21,18,15,12,17,14,11,8,13,10,7,4,9,6,3,0}
 sweet |     81 |  11.3099 |   52.8056 | 6.2169e-08 | {15,16,17,18,10,11,12,13,5,6,7,8,0,1,2,3}
 sweet |     82 |  78.6901 |   52.8056 | 6.2169e-08 | {3,8,13,18,2,7,12,17,1,6,11,16,0,5,10,15}
 sweet |     83 | 101.3099 |   52.8056 | 6.2169e-08 | {0,5,10,15,1,6,11,16,2,7,12,17,3,8,13,18}
 sweet |     84 | 168.6901 |   52.8056 | 6.2169e-08 | {0,1,2,3,5,6,7,8,10,11,12,13,15,16,17,18}
 sweet |     85 | 191.3099 |   52.8056 | 6.2169e-08 | {3,2,1,0,8,7,6,5,13,12,11,10,18,17,16,15}
 sweet |     86 | 258.6901 |   52.8056 | 6.2169e-08 | {15,10,5,0,16,11,6,1,17,12,7,2,18,13,8,3}
 sweet |     87 | 281.3099 |   52.8056 | 6.2169e-08 | {18,13,8,3,17,12,7,2,16,11,6,1,15,10,5,0}
 sweet |     88 | 348.6901 |   52.8056 | 6.2169e-08 | {18,17,16,15,13,12,11,10,8,7,6,5,3,2,1,0}
 sweet |     89 |  21.8014 |   50.3239 | 6.5658e-08 | {15,17,19,21,10,12,14,16,5,7,9,11,0,2,4,6}
 sweet |     90 |  68.1986 |   50.3239 | 6.5658e-08 | {6,11,16,21,4,9,14,19,2,7,12,17,0,5,10,15}
